city	schoolName
0	7,9,12,13,16,17,21,22,24,26,27,31,32,33,34,35,36,37,38,41,44,48,55,58,64,68,69,71,73,76,79,80,83,84,86,90,92,95,101,103,104,113,115,119,120,125,127,128,142,148,149,156,162,166,168,171,176,178,180,181,182,183,185,187,188,190,192,194,195,198,202,205,215,216,219,228,229,230,231,233,234,236,237,239,240,241,243,245,246,248,250,261,263,266,270,272,273,281,286,287,289,291,293,296,302,307,308,310,316,317,322,324,326,327,329,330,331,332,341,343,344,345,349,352,353,357,358,360,361,365,368,369,370,377,381,382,387,388,389,390,391,392,395,404,408,409,410,411,413,414,416,417,419,427,428,434,440,445,461,463,477,482,484,487,490,497,501,502,503,504,510,512,513,517,528,534,535,537,538,540,542,547,548,550,552,554,555,559,560,561,562,563,564,565,566,569,571,572,578,585,592,593,594,596,606,611,612,613,617,624,625,635,640,643,649,652,654,655,661,662,667,671,678,679,680,682,686,689,691,692,704,705,707,711,715,725,729,730,731,733,735,736,737,738,740,751,755,756,759,760,761,762,764,765,766,768,769,773,775,776,778,784,790,791,792,796,799,800,801,805,814,818,822,823,824,825,829,830,835,839,840,848,853,859,862,865,867,869,871,872,873,874,877,878,880,881,882,883,887,888,889,892,893,895,896,897,902,904,906,907,908,911,912,914,915,916,920,923,928,931,933,935,939,940,941,944,950,958,959,963,964,965,970,973,975,977,982,983,985,988,989,990,991,1001,1003,1007,1013,1014,1018,1025,1026,1027,1029,1035,1039,1040,1044,1046,1051,1053,1057,1059,1061,1064,1069,1072,1074,1075,1080,1083,1084,1085,1087,1089,1090,1092,1096,1097,1099,1102,1107,1109,1112,1113,1114,1115,1122,1124,1132,1135,1143,1144,1146,1147,1150,1153,1154,1157,1160,1166,1168,1173,1174,1175,1176,1179,1180,1188,1193,1196,1197,1200,1201,1202,1203,1205,1207,1211,1212,1214,1227,1230,1231,1238,1239,1240,1241,1242,1243,1249,1250,1252,1253,1256,1258,1265,1267,1269,1276,1279,1284,1287,1289,1293,1296,1297,1299,1302,1303,1304,1305,1306,1308,1310,1312,1313,1315,1316,1317,1321,1323,1324,1327,1329,1330,1334,1340,1341,1342,1348,1350,1351,1352,1354,1356,1358,1360,1364,1366,1369,1374,1376,1377,1379,1386,1387,1390,1391,1392,1395,1396,1401,1409,1410,1411,1412,1414,1417,1418,1422,1425,1426,1427,1429,1431,1433,1436,1438,1445,1447,1449,1450,1453,1456,1462,1464,1465,1466,1467,1469,1472,1473,1477,1483,1485,1491,1492,1493,1494,1497,1498,1499,1501,1504,1505,1510,1511,1512,1521,1525,1531,1536,1537,1540,1541,1544,1545,1546,1547,1550,1560,1561,1564,1565,1566,1568,1579,1581,1585,1591,1592,1593,1594,1597,1600,1604,1605,1606,1612,1613,1614,1623,1624,1625,1626,1627,1641,1644,1646,1647,1649,1651,1652,1658,1661,1663,1664,1666,1667,1671,1674,1679,1689,1690,1691,1692,1697,1703,1705,1706,1708,1714,1715,1716,1719,1720,1730,1731,1733,1734,1735,1742,1743,1744,1746,1747,1748,1749,1750,1751,1752,1753,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1774,1775,1777,1778,1779,1781,1782,1785,1793,1794,1799,1800,1801,1806,1807,1808,1821,1822,1824,1827,1828,1829,1832,1838,1840,1844,1846,1848,1849,1850,1854,1855,1856,1859,1860,1863,1868,1871,1872,1874,1875,1877,1878,1879,1883,1889,1890,1892,1894,1898,1901,1905,1909,1912,1913,1917,1920,1924,1929,1931,1935,1937,1938,1939,1941,1942,1943,1953,1958,1966,1967,1969,1973,1977,1978,1984,1985,1987,1988,1991,1992,1995,1997,2000,2002,2004,2007,2014,2016,2022,2028,2030,2031,2034,2035,2037,2038,2039,2043,2047,2048,2052,2055,2056,2058,2066,2071,2078,2079,2083,2087,2098,2100,2102,2104,2105,2106,2107,2108,2109,2110,2115,2123,2124,2125,2126,2130,2131,2132,2133,2134,2138,2146,2148,2150,2151,2155,2156,2158,2163,2166,2167,2168,2170,2173,2174,2183,2185,2188,2190,2191,2192,2194,2199,2200,2203,2204,2206,2207,2208,2211,2214,2216,2218,2219,2223,2224,2226,2228,2229,2240,2241,2245,2246,2247,2253,2255,2258,2260,2272,2275,2278,2282,2286,2293,2294,2295,2303,2307,2308,2309,2310,2312,2313,2316,2320,2321,2323,2324,2330,2332,2333,2334,2335,2338,2342,2346,2355,2358,2361,2364,2366,2367,2369,2370,2371,2373,2378,2379,2380,2381,2382,2384,2392,2393,2395,2396,2405,2406,2407,2410,2412,2413,2414,2416,2418,2420,2430,2437,2440,2442,2444,2446,2449,2460,2463,2464,2470,2471,2472,2473,2479,2482,2483,2484,2485,2499,2507,2513,2514,2517,2519
1	28,29,179,647,695,779,784,957,1052,1268,1558,1881,1882,1948,2126,2127,2135,2232,2233,2236,2448
2	386,688,823,884,1380,1400,1408,1708,2455
3	46,47,581,1131,1622,2491
4	82,1495,1496
5	87,88,334,587,1554
6	94,165,175,383,601,605,645,782,817,827,845,909,953,1077,1134,1138,1149,1159,1262,1280,1281,1298,1343,1349,1362,1406,1423,1653,1660,1665,1693,1792,1857,1878,1916,1934,2015,2094,2179,2202,2383,2422,2425,2501
7	312
8	1405
9	105,164,754,763,999,1020
