county	district
0	0,6,7,8,62,102,103,121,216,251,297,393,455,496,499,516,562,576,587,657,658,763
1	19,20,99
2	45,71,93,136,198,235,532,533,542,550,587,781
3	99,100,181,429
4	158,433,563,586,756,852
5	2,27,82,96,161,162,326,356,385,431,471,484,517,529,566,587,671,827,836
6	180,182
7	587
8	73,87,108,206,207,274,362,476,571,580,587,603
9	17,126,146,148,239,249,255,256,276,333,342,345,346,374,441,523,552,564,587,588,613,673,710,753,838
10	271,272,290,530,756,854
11	30,174,225,236,246,247,263,313,316,396,437,508,539,587,608,746,790
12	79,80,101,105,128,147,205,299,308,318,434,439,587,709,842
13	72,398,534
14	34,40,53,183,184,204,212,214,229,257,266,282,334,335,336,337,338,364,367,389,412,423,424,436,449,459,504,548,549,587,606,620,702,721,747,750,770,771,824,829,830,838
15	32,127,163,291,292,343,344,381,382,565,602
16	351,360,363,414,448,811
17	70,372,373,765,845
18	1,4,9,25,26,29,38,41,50,57,64,76,90,119,124,133,144,159,169,171,192,194,201,203,208,209,210,211,264,269,270,289,296,302,320,332,352,368,371,375,376,383,390,399,402,403,404,405,410,413,417,421,461,465,480,501,509,544,547,551,553,581,587,598,599,622,627,651,662,686,694,698,699,701,703,714,742,744,758,778,783,813,828,837,844,849,850,851,856,860
19	49,138,139,277,418,587,594
20	188,330,359,369,425,426,450,510,587,601,625,626,669,670,695,773
21	427,428
22	31,244,377,440,579,807,853
23	36,185,190,262,288,306,394,406,444,445,446,587,834,859
24	458,764
25	202,420,460
26	10,33,69,115,140,279,283,341,358,454,467,468,507,538,587,635,636,638,677,688,730,741
