county	schoolName
0	7,9,17,21,22,24,26,27,37,41,44,58,64,68,69,76,86,90,92,104,113,119,125,127,148,149,156,162,168,171,176,180,181,185,194,198,205,215,228,230,231,234,236,237,243,246,248,250,261,263,270,272,287,289,291,293,296,302,307,308,310,316,317,322,324,326,330,341,352,357,361,369,370,381,382,388,389,390,391,392,395,404,408,410,411,414,416,417,419,434,440,445,477,482,484,487,501,503,512,513,528,534,537,538,540,542,547,559,560,563,564,565,566,569,571,578,592,606,624,661,671,679,680,686,691,692,704,705,707,711,715,729,731,735,737,738,740,751,755,756,760,762,773,778,784,791,796,799,800,801,805,814,822,823,824,825,829,835,839,840,848,859,862,867,869,871,873,877,878,883,887,888,889,893,896,904,906,907,908,912,915,920,928,931,939,941,959,965,970,973,977,982,985,1001,1003,1007,1014,1025,1027,1029,1039,1040,1044,1051,1057,1064,1072,1075,1080,1084,1090,1097,1099,1102,1107,1109,1112,1113,1114,1135,1144,1146,1153,1157,1160,1176,1179,1180,1188,1196,1197,1202,1203,1207,1211,1212,1227,1230,1231,1238,1239,1243,1253,1256,1265,1267,1269,1276,1287,1289,1293,1299,1304,1305,1317,1329,1330,1341,1348,1350,1351,1352,1354,1356,1360,1366,1374,1376,1377,1379,1387,1391,1392,1396,1401,1409,1411,1412,1414,1417,1418,1422,1431,1433,1436,1438,1447,1449,1456,1464,1465,1467,1483,1491,1492,1494,1497,1504,1505,1536,1540,1544,1545,1547,1564,1568,1581,1585,1593,1597,1600,1606,1624,1646,1652,1658,1663,1664,1667,1689,1692,1703,1705,1706,1715,1719,1730,1731,1733,1734,1735,1742,1743,1747,1749,1750,1751,1756,1762,1763,1764,1775,1777,1778,1779,1782,1785,1793,1800,1807,1808,1822,1824,1832,1846,1849,1855,1859,1868,1872,1874,1877,1889,1894,1898,1901,1909,1912,1917,1920,1924,1929,1938,1939,1943,1958,1966,1973,1977,1978,1991,1992,1997,2000,2002,2004,2007,2014,2016,2028,2037,2043,2048,2052,2056,2058,2066,2071,2078,2083,2087,2098,2102,2106,2109,2110,2132,2138,2146,2148,2155,2156,2183,2188,2192,2194,2204,2208,2211,2216,2218,2219,2223,2224,2229,2241,2245,2246,2253,2260,2278,2293,2294,2303,2308,2310,2316,2320,2324,2332,2333,2342,2346,2355,2358,2361,2366,2367,2369,2373,2378,2381,2392,2395,2396,2407,2410,2412,2413,2414,2416,2418,2420,2442,2449,2460,2463,2464,2472,2479,2482,2485,2499,2507,2513,2514
1	5,8,14,28,29,33,34,35,49,52,53,81,83,91,97,102,120,121,122,124,130,131,132,134,135,136,139,140,143,146,167,177,178,179,183,193,194,203,204,220,221,225,239,251,260,262,264,266,268,269,274,292,294,298,299,300,309,319,320,340,362,384,392,396,429,431,433,437,458,465,473,474,478,479,491,492,497,498,507,508,511,519,520,544,548,555,562,568,599,615,616,626,627,629,630,631,639,641,642,643,647,651,676,683,685,689,690,693,695,700,701,708,710,739,777,779,784,785,786,789,795,797,804,808,815,816,823,851,852,860,862,864,872,885,892,894,900,910,927,934,935,937,938,949,957,958,972,978,979,984,986,993,1002,1007,1010,1013,1017,1028,1034,1036,1041,1052,1053,1060,1063,1069,1078,1080,1086,1088,1093,1099,1100,1103,1104,1110,1112,1115,1130,1140,1142,1143,1145,1162,1172,1197,1218,1219,1221,1228,1229,1232,1236,1237,1247,1260,1261,1265,1266,1268,1277,1282,1283,1292,1295,1301,1340,1344,1345,1346,1357,1367,1368,1371,1386,1403,1413,1415,1419,1429,1435,1438,1452,1473,1487,1488,1489,1490,1502,1507,1515,1539,1558,1566,1567,1573,1574,1594,1619,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1641,1654,1674,1676,1678,1680,1696,1708,1710,1713,1726,1732,1744,1745,1746,1762,1809,1811,1826,1839,1848,1851,1880,1881,1882,1902,1917,1919,1922,1932,1946,1948,1952,1956,1965,1981,1982,1983,1984,1985,1986,1987,1999,2017,2020,2030,2076,2099,2116,2120,2121,2122,2124,2126,2127,2128,2135,2136,2159,2162,2167,2169,2170,2171,2185,2187,2222,2231,2232,2233,2234,2235,2236,2237,2238,2239,2243,2250,2251,2252,2258,2259,2266,2285,2288,2289,2296,2297,2348,2353,2391,2395,2397,2398,2417,2423,2431,2437,2438,2443,2448,2450,2453,2479,2486,2497,2515,2518,2519,2522
2	85,110,1033,1043,1061,1062,1532,1780,2044,2197,2198
3	214,222,380,402,420,421,430,611,612,613,732,1006,1038,1275,1285,1385,1404,1441,1559,1611,1627,1672,1753,1776,1871,1927,2040,2046,2059,2060,2137,2506
4	312
5	103,470,471,837,1070,1279,1425,1426,1427,1748
6	0,12,13,31,42,48,137,138,151,166,182,190,229,241,286,315,317,325,327,331,332,353,377,394,413,436,461,463,485,495,502,510,517,545,552,555,570,572,585,593,596,617,640,654,662,664,668,682,730,736,758,759,761,764,790,818,865,874,892,896,897,903,923,944,950,963,964,975,977,980,983,988,995,1035,1046,1058,1087,1092,1100,1108,1112,1121,1122,1154,1213,1214,1233,1259,1276,1286,1310,1312,1315,1319,1327,1342,1355,1370,1405,1414,1416,1446,1450,1466,1481,1485,1508,1511,1521,1522,1533,1537,1538,1548,1550,1560,1604,1615,1617,1623,1646,1649,1655,1671,1697,1714,1752,1755,1758,1759,1765,1766,1801,1804,1827,1829,1865,1866,1878,1890,1892,1960,1969,1995,2029,2030,2031,2034,2035,2036,2038,2042,2069,2079,2105,2107,2118,2119,2123,2125,2126,2130,2131,2133,2134,2144,2150,2158,2163,2166,2174,2175,2176,2186,2203,2214,2240,2255,2282,2307,2309,2321,2323,2334,2335,2355,2371,2379,2380,2382,2384,2395,2427,2470,2473,2479,2483,2502,2505,2508,2509,2517
7	281,329,665,1061,1390,1757,1774,1856,2446
8	19,25,77,114,129,150,152,159,211,223,280,282,288,301,323,339,355,356,369,370,375,379,385,393,418,442,443,444,446,447,448,449,450,455,466,488,489,509,541,553,567,607,634,638,646,648,650,659,702,703,726,728,741,752,770,771,772,793,802,803,823,826,841,843,847,891,915,922,931,961,969,996,1024,1049,1061,1068,1073,1080,1095,1119,1120,1148,1155,1165,1167,1169,1226,1265,1320,1359,1361,1372,1394,1430,1434,1438,1440,1453,1470,1484,1500,1513,1527,1533,1542,1587,1590,1717,1721,1722,1738,1740,1791,1820,1841,1842,1858,1879,1883,1891,1904,1910,1911,1918,1955,1957,2019,2030,2031,2050,2061,2077,2142,2184,2187,2193,2213,2215,2220,2223,2257,2274,2328,2345,2349,2352,2400,2405,2408,2458,2479,2487,2490,2500
9	914,915,916,2475,2476,2477
