district	schoolName
0	5067,5068
1	69,283,558,1042,1162,1409,1447,1569,1570,2743,2993,3246,3263,3490,3733,3741,4447,4518,4882,5629,6157,6172,6644,7536,8392,8656,8806,9475,9627
2	97,98,99,1323,4817,5770
3	1026
4	1910,3879,4090,4139,5618,5681,5682,7876,9074
5	133,1891,2309,2385,2500,2664,3362,3612,5635,5669,5920,8696,9119,9369,9450
6	164,165,1176,1927,2039,2823,4873,6358,8948,9732,9733
7	162,163,167,168,323,347,761,2383,2591,2797,3161,3173,3823,4176,5001,5556,6066,7349,7564,8660,8661,9499,9521
8	175,176,177,178,1985,5269,5425,6383
9	208,1086,1563,2773,3203,3293,3512,5405,5456,5486,5881,6694,7112,7239,7696,9538,9698
10	220,733,1581,2059,2449,3162,3203,4291,4339,5851,6368,6526,9175
11	236
12	285,286
13	294,1020,2058,4299,5964,7962
14	300,303,721,1413,2229,3063,3855,4264,9118,9156
15	315
16	63,129,291,477,853,1574,1825,1826,2387,4017,4421,4608,4614,4887,4896,5012,5250,5728,6303,6371,7231,7234,7577,7642,8551,8716,9545
17	332
18	228,333,334,335,512,514,1874,3076,3920,4679,4718,4759,5089,6033,6206,6819,7521,7587,8431,8443,8650,8907,9032,9355,9730
19	7992
20	337,508,4113,4153,4154,4210,4212,6847,6882,6931,8513,8514
21	749,2587,3167,3320,3451,3608,3815,4270,4447,4550,4991,5054,5278,5346,5473,6418,6482,6628,6955,7000,7248,7479,7535,8370,8459,9435
22	370,700,1108,2134,2155,3391,4010,4343,4490,4959,5055,5296,6489,6553,7874,8183,8534,9252,9421
23	385,387,6241
24	446
25	452
26	450,451,2306,2313,2568,3902,4632,4791,5041,6635,6637,6830,7057,7076,8130,8131,9526
27	457,458,459,460,461,844,912,958,1075,1408,2156,2232,2323,2436,3203,4206,4558,5045,5103,5472,5779,5997,6497,6696,7020,8515,8874
28	472,474,2302,3531,3880,5411,6823,7160,7340,7788,8096,8536,9069,9744
29	491,492,696,1305,3035,3092,3903,3961,4053,5111,7146,7276
30	494,1836,3236,7208,8465,8926
31	505,6579
32	530,2094,6718
33	534,7717
34	786,2642,3737,8058
35	7823
36	157,630,832,833,2749,5804,5805,6781,7965,8715
37	632,7428
38	214,669,1535,1632,1802,3080,3401,3402,3816,5106,5295,5961,6686,8034,8114,9040,9112,9237
39	682
40	897,898,1416,1457,1581,1713,1866,1878,1938,2124,2431,2440,2446,2770,2918,3165,3173,3203,3687,3818,4020,4028,4277,4930,5109,5593,5992,6010,6032,6762,6876,7081,7106,7483,7939,8041,8339,9230,9277,9312,9330,9539,9550
41	695,1544,1624,1625,2212,2758,2840,4288,4517,5397,6229,6415,6925,7818,8060,8808,9152,9261
42	699
43	701
44	702
45	711
46	714,715,716,717,1214,1544,3056,3811,3949,5747,6104,6155,7238,8503
47	720,6148
48	744,745,746,747,1194,1302,1546,1605,2081,3812,4927,5846,8111
49	6309,6347
50	753,755,2378,2585,4192,6285,8459,8784
51	768,3297
52	694,915,916,917,1666,2972,6234
53	792,793,6207,7723
54	17,429,795,797,798,1112,3423,3898,6627,7699,8455,8731,8793
55	821
56	830
57	181,835,2049,2844,2876,3153,4146,4814,5561,7112,8152,8344,8708,9306
58	1544,1742,3136,6082,7101,7216,7789
59	843
60	855,856,1911,4308,4966,5519,5543,7420
61	8054
62	872,873,874,875,876,1695,2048,2769,3177,4016,4277,4378,4566,4893,5108,5332,5497,6554,7182,7183,7495,8729,8785,8929,9306,9507
63	887,1113,1678,4797,5323,5928,6178,6264,6839,7573,8064,8424,8801,9143
64	910,911,2685,3744,5913
65	918
66	919
67	2380,8634,8752
68	921,922
69	924
70	925,926
71	927,928,929
72	951,952,3991
73	362,2356,3370,3473,6262
74	860,2974,8843
75	980
76	233,523,1002,1614,3182,3400,3503,4198,4722,5100,6324,7118,7676,9182
77	1007,1008,1009,6193,6743
78	1015,1016,1017,2338
79	731,4199,5714,6034,6815
80	1050,2310,7230
81	535,1051,1052,1053,1054,4852,5446,6410,9517
82	121,1061,2600,3296,5087,5471,5514,6877,7075,7472,9512
83	1067
84	1082,6424
85	1088,5032,6665
86	1090
87	982,1136,1270,1300,1653,6322,7351,7465,8068,9513
88	4407,6334
89	564,1145,1381,1628,3497,4222,5264
90	1064,1163,1167,1171,1172,1185,2193,3367,4019,4302,4381,5245,5299,5880,6470,7022,7072,7097,8693,8705,8708,9272,9534
91	1178,3173,4006,4996,5593,7483,9306
92	1190,1191,4296,6314,9541
93	1199,1982,5677,5959
94	1200,1201,1460,6833
95	1206
96	2345,8750
97	331,2662,2978,2979,3633,5361,6844
98	465,662,977,1018,1233,1234,1657,2080,2624,2764,3064,3237,3572,3928,4218,4399,4958,5172,5280,5295,5659,5898,6050,7155,7341,7959,9198,9232
99	1245,1246,1247,1248,1253,1500,1501,5953,5954
100	1251,1254,3461,4284,5816,7085,7635,9029,9388
101	647,967,1257,1258,1574,2392,2812,4277,4521,5322,7448,9536
102	1272
103	1273
104	1274
105	932,1276,3205,3505
106	6620
107	678,2976,2986,7001,7865,8337
108	1304,1318
109	961,962,1322,1369,1370,1481,3101,3102,5252,5480,5481,5831,7465,7519,7520,8003,8005,9134
110	1033,1048,1295,2247,4908,7018,9436
111	1983
112	223,224,886,1079,1271,1359,1361,1364,1365,1777,1926,1941,2163,2256,2376,2377,3369,3700,3874,4372,4438,4472,4598,4744,4819,5383,5390,5410,5939,6160,6314,6619,7274,7275,7653,7720,7722,8020,8849,9127,9192,9635
113	116,118,1375,1376
114	661,1149,1244,1390,4012,4277,4510,5295,6588,6934,9014
115	1396,1397,1401,1402,1403,1404,8852
116	222,1326,1423,1424,1425,7312,8425
117	1445,1446,5384
118	384,386,5614
119	1465,1466,5043,6253
120	1477
121	274,1349,1350,1484,1485,1486,1487,1488,1489,1590,1681,2062,2063,4114,4115,4285,4286,5477,5478,6657,6658,7013,7014,7209,7213,7549,8322,8323,9070,9071
122	1499
123	566,1534,1769,2137,3447,5576,6209,6317,9592
124	2973,3746,4862,4948,6115,7071
125	785,1544,2043,2110,2111,2382,7580,7581,8984
126	936,1547,1553,2645,3399,3660,3726,3858,4236,4390,5593,6194,6740,6741,6800,7339,7355,7483,8603,9544
127	158,1544,7070,8394
128	1554,1555,2305,6831,8220
129	1146,1557,2166,3335,3419,5173,7175,7742
130	510,965,1432,1491,1556,1567,1577,2379,3661,4314,4714,5228,5262,5290,6748,7630,8089,9170,9278,9474
131	301,302,1592,1594,1595,1884,2889,5184,5185,5849,6453,7135,9035
132	321,1593,1596,1885,2890,6454,7136,9036
133	676,1079,1510,1654,3420,7557,8377,9306,9566
134	1661,5965
135	1688,1689
136	90,914,981,1532,1618,1690,1691,1692,1750,2781,2940,3997,4142,5038,5084,5421,5470,5603,6067,6340,6717,6921,7512,7979,8010,8055,9491
137	217,428,1034,1148,1205,1235,1347,1612,1710,1711,1712,2029,2336,2373,2489,2497,2620,3376,3431,3876,4032,4949,5247,5298,5693,6141,6331,7117,7417,7466,7561,9258,9644
138	2955,5660,7475,8349,9596
139	1715
140	1728
141	231,553,766,1286,1462,1473,1729,1730,1792,1964,2347,2559,2992,3029,3632,3682,3782,3844,3933,4035,4449,4507,4845,4886,4939,4965,5083,5134,5474,5604,5893,5996,6435,6531,6654,6717,7265,7458,7461,7510,7621,8076,8474,8749,8982,9038,9108,9217,9628
142	1735
143	1739,1740
144	1612,1774,1775,1911,1942,2167,2684,6361,7643,8445,8532,9196
145	1813,4277,9301
146	308,1133,1139,1512,1531,1562,1780,1817,1818,1819,1820,1821,1822,1823,1824,1852,1971,2041,2463,2814,2977,3116,3193,3293,3315,3381,3534,4251,4277,4489,4965,4996,5370,5769,5961,6079,6855,7181,7185,7250,7387,7457,8058,8589,8626,9016,9173,9352,9670
147	989,1229,1829,1830,2303,4368,4676,4821,5624,5969,6276,6369,6632,6812,7872,7911,8786,8981,9397
148	440,1294,1685,1831,1832,3820,4074,4075,6076
149	1290,1834,4902,7822
150	1847
151	1858
152	1865,7846,7847
153	72,211,974,1886,1887,1965,2083,3375,3521,3522,4306,4478,5511,5692,6764,7184,7579,7582,7778,8117,8533,8651,8653,8917,9280,9308,9534,9666
154	1888
155	1890,5580,5965
156	1890
157	1892
158	1899,1900,1901,3360,4241
159	382,1161,1187,1449,1526,1572,1808,1933,1934,1937,1939,2201,2335,2372,2689,2769,2817,3127,3143,4510,4855,5109,5491,5563,5593,7094,7401,7483,7488,7511,8710,8737,8756,9068,9306,9459,9576
160	80,579,721,1559,1861,1945,1947,2133,2818,3440,4731,4798,5170,5288,5371,6132,7214,7939,8530,8730,9261,9331,9426,9427,9428,9494
161	113,1259,1543,1788,1955,2531,3062,4200,5326,8438
162	1956,4971
163	1064,1973,4333,4381,4587,5457
164	1889,5567,6419,9401,9675
165	1524,1991
166	1997,1998,1999,2438,8625
167	2001,2003,2004,2005,2517,6621,8075
168	4865,7134,8606,8717
169	737,852,2034,2133,2961,3596,4808,4820,5366,5665,5666,6263,7546,8063,8181,8822,9678
170	2109,5137,7137,8685
171	2113,2114,2115,2116,2663,2682,2988,4656,5029
