district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Vallejo City Unified,Dan Mini Elementary,1530 Lorenzo Drive Vallejo CA 94589-1614,NA,NA,NA,not tested,Vallejo,Solano County,38.1494348333333,-122.259671666667
Vallejo City Unified,Griffin Academy,425 Corcoran Ave Vallejo CA 94589,NA,NA,NA,not tested,Vallejo,Solano County,38.1485435729396,-122.248545828945
Vallejo City Unified,Highland Elementary,1309 Ensign Avenue Vallejo CA 94590-3949,NA,NA,NA,not tested,Vallejo,Solano County,38.114659612307,-122.23441210061
Vallejo City Unified,Jesse M. Bethel High,1800 Ascot Parkway Vallejo CA 94591-8367,NA,NA,NA,not tested,Vallejo,Solano County,38.119967,-122.207469
Vallejo City Unified,John Finney High (Continuation),233 Hobbs Avenue Vallejo CA 94589-2325,NA,NA,NA,not tested,Vallejo,Solano County,38.1328701707317,-122.249096195122
Vallejo City Unified,Joseph H. Wardlaw Elementary,1698 Oakwood Avenue Vallejo CA 94591-4145,NA,NA,NA,not tested,Vallejo,Solano County,38.11786,-122.210894
Vallejo City Unified,Mare Island Technology Academy,2 Positive Place Vallejo CA 94589-1825,NA,NA,NA,not tested,Vallejo,Solano County,38.149508,-122.244219
Vallejo City Unified,Solano Middle,1025 Corcoran Avenue Vallejo CA 94589-1844,NA,NA,NA,not tested,Vallejo,Solano County,38.1541044964571,-122.24072708675
Vallejo City Unified,Vallejo Charter,2833 Tennessee Street Vallejo CA 94591-4948,NA,NA,NA,not tested,Vallejo,Solano County,38.1090235454545,-122.214872808081
Vallejo City Unified,Vallejo Education Academy,301 Farragut Avenue Vallejo CA 94590-4309,NA,NA,NA,not tested,Vallejo,Solano County,38.112186,-122.262333
Vallejo City Unified,Vallejo High School AnnexISP,1347 Amador St Vallejo CA 94590,NA,NA,NA,not tested,Vallejo,Solano County,38.1126649591837,-122.243387755102
