district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Stanislaus Union Elementary,Agnes M. Baptist Elementary,1825 Cheyenne Way Modesto CA 95356-0987,NA,NA,NA,not tested,Modesto,Stanislaus County,37.69342475,-121.025338202466
Patterson Joint Unified,Apricot Valley Elementary,1320 Henley Parkway Patterson CA 95363-8800,NA,NA,NA,not tested,NA,Stanislaus County,37.4689182531588,-121.154974662455
Ceres Unified,Argus High (Continuation),2555 Lawrence Street Ceres CA 95307-0307,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.5905413,-120.9483146
Sylvan Union Elementary,Aspire University Charter,3313 Coffee Road Modesto CA 95355-1534,NA,NA,NA,not tested,Modesto,Stanislaus County,37.6863855263158,-120.976129947368
Empire Union Elementary,Bernard L. Hughes Elementary,512 North McClure Road Modesto CA 95357-1542,NA,NA,FALSE,tested,Modesto,Stanislaus County,37.6470707419355,-120.929992548387
Ceres Unified,Blaker-Kinser Junior High,1601 Kinser Road Ceres CA 95307-0307,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.591274,-120.968615
Newman-Crows Landing Unified,Bonita Elementary,425 Fink Road Crows Landing CA 95313-9771,NA,NA,NA,not tested,NA,Stanislaus County,37.3914276488294,-121.076685648829
Empire Union Elementary,Capistrano Elementary,400 Capistrano Drive Modesto CA 95354-3243,NA,NA,FALSE,tested,Modesto,Stanislaus County,37.643516,-120.942392
Riverbank Unified,Cardozo Middle,3525 Santa Fe Street Riverbank CA 95367-2300,NA,NA,FALSE,tested,NA,Stanislaus County,37.7360126,-120.9467416
Ceres Unified,Carroll Fowler Elementary,2611 Garrison Street Ceres CA 95307-2736,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.5987818,-120.9461486
Ceres Unified,Caswell Elementary,1800 North Central Avenue Ceres CA 95307-1807,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.602541,-120.956885
Ceres Unified,Central Valley High,4033 Central Avenue Ceres CA 95307-7507,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.579742382917,-120.957015046061
Ceres Unified,Ceres High,2320 Central Avenue Ceres CA 95307-2502,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.5963941919192,-120.956808383838
Ceres Unified,Cesar Chavez Junior High,2701 Eastgate Boulevard Ceres CA 95307-5054,7,ppb,TRUE,tested,Ceres,Stanislaus County,37.5944288,-120.9267669
